kihelkond;kene_regexp_protsent;sõnavorme_kokku;kene_sõnavorme_kokku
Amb;0.0927;18348;17
Ans;0.0351;17086;6
Aud;0.0046;21536;1
Avi;0.214;11683;25
Emm;0.0058;17365;1
Har;0.1026;26313;27
Hel;0.1451;8268;12
Hlj;0.2403;14983;36
Hls;0.0169;5915;1
HMd;0.0401;27419;11
Hää;0.0227;13243;3
Iis;0.1834;15268;28
ISe;0.2145;47560;102
Jaa;0;2256;0
Juu;0;14279;0
Jõe;0.1098;61014;67
Jõh;0.1487;22863;34
Jäm;0.0267;22504;6
Kad;0.2024;20252;41
Kam;0.0957;11500;11
Kan;0.1844;14639;27
Kei;0.0715;19586;14
Khk;0.0151;33185;5
Khn;0.0061;32975;2
Kir;0.0074;13597;1
KJn;0.0524;24815;13
Kod;0.1981;17666;35
Koe;0.0684;29241;20
Kos;0.0889;14631;13
Krj;0;5714;0
Krk;0.0045;22311;1
Krl;0.0665;33095;22
Kul;0.0574;64461;37
Kuu;0.0599;25040;15
Käi;0.0118;33800;4
Lih;0.0086;11690;1
LSe;0.1214;42016;51
Lüg;0.2235;23264;52
Mar;0.0258;73616;19
Mih;0.0127;23604;3
Muh;0.0213;32801;7
Mus;0.082;28058;23
Mär;0.0329;6087;2
Nis;0;6340;0
Nõo;0.1033;26150;27
Ote;0.1735;14989;26
Pal;0.1808;23227;42
Pee;0.0192;15585;3
Pha;0.0169;29651;5
Phl;0.0134;22458;3
Pil;0.0377;21203;8
PJg;0.0317;22071;7
Plt;0.1487;45066;67
Plv;0.1717;34356;59
PSe;0.371;31535;117
Pst;0;25443;0
Puh;0.2437;17643;43
Pöi;0;9077;0
Ran;0.1391;147368;205
Rap;0;5261;0
Reigi;0;13793;0
Rid;0.0889;15755;14
Ris;0.1611;29789;48
Rõn;0.0413;21777;9
Rõu;0.1623;17870;29
Räp;0.1772;10724;19
SJn;0.0199;15088;3
Tor;0.1159;7767;9
Trm;0.0648;16970;11
Trv;0.0109;27614;3
Tõs;0.0061;49163;3
Tür;0.186;8064;15
Urv;0.041;2437;1
Vai;0.1304;18398;24
Var;0.0259;19298;5
Vas;0.179;35190;63
VJg;0.2998;9672;29
Vll;0;2119;0
VMr;0.1464;5465;8
VNg;0.2154;39925;86
Võn;0.2335;22699;53
Vän;0.0702;24232;17
Äks;0.1306;11482;15
