kihelkond;kene_regexp_protsent;sõnavorme_kokku;kene_sõnavorme_kokku;kihelk_nimi
Amb;0.0927;18348;17;Ambla
Ans;0.0351;17086;6;Anseküla
Aud;0.0046;21536;1;Audru
Avi;0.214;11683;25;Avinurme
Emm;0.0058;17365;1;Emmaste
Har;0.1026;26313;27;Hargla
Hel;0.1451;8268;12;Helme
Hlj;0.2403;14983;36;Haljala
Hls;0.0169;5915;1;Halliste
HMd;0.0401;27419;11;Harju-Madise
Iis;0.1834;15268;28;Iisaku
ISe;0.2145;47560;102;Idasetu
Jaa;0;2256;0;Jaani
Juu;0;14279;0;Juuru
Kad;0.2024;20252;41;Kadrina
Kam;0.0957;11500;11;Kambja
Kan;0.1844;14639;27;Kanepi
Kei;0.0715;19586;14;Keila
Khk;0.0151;33185;5;Kihelkonna
Khn;0.0061;32975;2;Kihnu
Kir;0.0074;13597;1;Kirbla
KJn;0.0524;24815;13;Kolga-Jaani
Kod;0.1981;17666;35;Kodavere
Koe;0.0684;29241;20;Koeru
Kos;0.0889;14631;13;Kose
Krj;0;5714;0;Karja
Krk;0.0045;22311;1;Karksi
Krl;0.0665;33095;22;Karula
Kul;0.0574;64461;37;Kullamaa
Kuu;0.0599;25040;15;Kuusalu
Lih;0.0086;11690;1;Lihula
LSe;0.1214;42016;51;Lõunasetu
Mar;0.0258;73616;19;Martna
Mih;0.0127;23604;3;Mihkli
Muh;0.0213;32801;7;Muhu
Mus;0.082;28058;23;Mustjala
Nis;0;6340;0;Nissi
Ote;0.1735;14989;26;Otepää
Pal;0.1808;23227;42;Palamuse
Pee;0.0192;15585;3;Peetri
Pha;0.0169;29651;5;Püha
Phl;0.0134;22458;3;Pühalepa
Pil;0.0377;21203;8;Pilistvere
PJg;0.0317;22071;7;Pärnu-Jaagupi
Plt;0.1487;45066;67;Põltsamaa
Plv;0.1717;34356;59;Põlva
PSe;0.371;31535;117;Põhjasetu
Pst;0;25443;0;Paistu
Puh;0.2437;17643;43;Puhja
Ran;0.1391;147368;205;Rannu
Rap;0;5261;0;Rapla
Reigi;0;13793;0;Reigi
Rid;0.0889;15755;14;Ridala
Ris;0.1611;29789;48;Risti
SJn;0.0199;15088;3;Suure-Jaani
Tor;0.1159;7767;9;Tori
Trm;0.0648;16970;11;Torma
Trv;0.0109;27614;3;Tarvastu
Urv;0.041;2437;1;Urvaste
Vai;0.1304;18398;24;Vaivara
Var;0.0259;19298;5;Varbla
Vas;0.179;35190;63;Vastseliina
VJg;0.2998;9672;29;Viru-Jaagupi
Vll;0;2119;0;Valjala
VMr;0.1464;5465;8;Väike-Maarja
VNg;0.2154;39925;86;Viru-Nigula
Hää;0.0227;13243;3;Häädemeeste
Jõe;0.1098;61014;67;Jõelähtme
Jõh;0.1487;22863;34;Jõhvi
Jäm;0.0267;22504;6;Jämaja
Käi;0.0118;33800;4;Käina
Lüg;0.2235;23264;52;Lüganuse
Mär;0.0329;6087;2;Märjamaa
Nõo;0.1033;26150;27;Nõo
Pöi;0;9077;0;Pöide
Rõn;0.0413;21777;9;Rõngu
Rõu;0.1623;17870;29;Rõuge
Räp;0.1772;10724;19;Räpina
Tõs;0.0061;49163;3;Tõstamaa
Tür;0.186;8064;15;Türi
Võn;0.2335;22699;53;Võnnu
Vän;0.0702;24232;17;Vändra
Äks;0.1306;11482;15;Äksi
